開催年数,開催月,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
令和6年,10月,19,労働衛生,食中毒に関する次の記述のうち、誤っているものはどれか。,腸炎ビブリオ菌は、熱に強い。,サルモネラ菌による食中毒は、鶏卵が原因となることがある。,黄色ブドウ球菌による食中毒は、食品に付着した菌が食品中で増殖した際に生じる毒素により発症する。,ウェルシュ菌、セレウス菌及びカンピロバクターは、いずれも細菌性食中毒の原因菌である。,ノロウイルスによる食中毒は、冬季に集団食中毒として発生することが多く、潜伏期間は、 1～2日間である。,1,正答は1。腸炎ビブリオは熱に弱く、十分な加熱で死滅する。熱に強いとする記述は誤りであり、魚介類の低温管理や真水での洗浄なども予防に有効である。
令和6年,10月,20,労働衛生,出血及び止血法に関する次の記述のうち、誤っているものはどれか。,体内の全血液量は、体重の約8%で、その約3分の1を短時間に失うと生命が危険な状態となる。,静脈性出血は、り傷のときにみられ、傷口から少しずつにじみ出るような出血である。,止血を行うときは、受傷者の血液による処置者への感染防止のため、ビニール手袋を着用したりビニール袋を活用するようにする。,止血法には、直接圧迫法、間接圧迫法などがあるが、一般人が行う応急手当としては直接圧迫法が推奨されている。,間接圧迫法は、出血部位より心臓に近い部位の動脈を圧迫する方法で、止血点を指で骨に向けて強く圧迫する。,2,正答は2。静脈性出血は暗赤色の血液が持続的に流れ出るのが特徴である。擦り傷で少しずつにじむような出血は、毛細血管性出血の説明である。
令和6年,10月,21,労働生理,次のうち、正常値に男女による差がないとされているものはどれか。,赤血球数,ヘモグロビン量,へマトクリット値,血小板数,基礎代謝量,4,正答は4。赤血球数やヘモグロビン量などには性差がみられやすいが、血小板数には大きな男女差は一般に認められない。血液成分ごとの特徴を区別する。
令和6年,10月,22,労働生理,心臓及び血液循環に関する次の記述のうち、誤っているものはどれか。,肺循環により左心房に戻ってきた血液は、左心室を経て大動脈に入る。,大動脈を流れる血液は動脈血であるが、肺動脈を流れる血液は静脈血である。,心拍数は、左心房に存在する洞結節からの電気刺激によってコントロールされている。,心臓の拍動による動脈圧の変動を末梢の動脈で触知したものを脈拍といい、一般に、手首の橈骨動脈で触知する。,心筋は人間の意思によって動かすことができない不随意筋であるが、随意筋である骨格筋と同じ横紋筋に分類される。,3,正答は3。心臓の拍動は、右心房にある洞房結節で発生した刺激が刺激伝導系を伝わることで起こる。洞結節が左心房にあるとする記述は誤り。
令和6年,10月,23,労働生理,呼吸に関する次の記述のうち、正しいものはどれか。,横隔膜が下がり、胸郭内の内圧が低くなるにつれ、気道を経て肺内へ流れ込む空気が呼気である。,呼吸に関与する筋肉は、間脳の視床下部にある呼吸中枢によって支配されている。,肺胞内の空気と肺胞を取り巻く毛細血管中の血液との間で行われるガス交換は、外呼吸である。,身体活動時には、血液中の窒素分圧の上昇により呼吸中枢が刺激され、1回換気量及び呼吸数が増加する。,チェーンストークス呼吸とは、肺機能の低下により呼吸数が増加した状態をいい、喫煙が原因となることが多い。,3,正答は3。肺胞と肺の毛細血管との間で行われる酸素と二酸化炭素の交換は外呼吸である。組織細胞と毛細血管との間のガス交換は内呼吸と呼ばれる。
令和6年,10月,24,労働生理,消化器系に関する次の記述のうち、誤っているものはどれか。,ブドウ糖とアミノ酸は、小腸の絨毛の毛細血管に吸収され、門脈を通って肝臓に運ばれる。,無機塩及びビタミン類は、酵素による分解を受けないでそのまま吸収される。,胆汁はアルカリ性で、蛋白質を分解するトリプシンなどの消化酵素を含んでいる。,胃は、塩酸やペプシノーゲンを分泌して消化を助けるが、水分の吸収はほとんど行わない。,吸収された栄養分は、血液やリンパによって組織に運搬されてエネルギー源などとして利用される。,3,正答は3。胆汁は消化酵素を含まず、脂肪を乳化して脂肪の消化吸収を助ける。トリプシンなどの消化酵素を含むとする記述は誤り。
令和6年,10月,25,労働生理,体温調節に関する次の記述のうち、正しいものはどれか。,寒冷な環境においては、皮膚の血管が拡張して血流量を増し、皮膚温を上昇させる。,暑熱な環境においては、内臓の血流量が増加し体内の代謝活動が亢進することにより、人体からの熱の放散が促進される。,体温調節のように、外部環境が変化しても身体内部の状態を一定に保つ生体の仕組みを同調性といい、筋肉と神経系により調整されている。,体温調節中枢は、小脳にあり、熱の産生と放散のバランスを維持し体温を一定に保つよう機能している。,甲状腺ホルモンの分泌により、代謝が亢進し、体温は上昇する。,5,正答は5。甲状腺ホルモンは基礎代謝を亢進させ、熱産生にも関与する。代謝や体温調節に関係する主要な内分泌の働きとして押さえておく。
令和6年,10月,26,労働生理,耳とその機能に関する次の記述のうち、誤っているものはどれか。,耳は、聴覚と平衡感覚をつかさどる器官で、外耳、中耳及び内耳の三つの部位に分けられる。,耳介で集められた音は、鼓膜を振動させ、その振動は耳小骨によって増幅され、内耳に伝えられる。,内耳は、前庭、半規管及び蝸牛（うずまき管）の三つの部位からなり、前庭と半規管が平衡感覚、蝸牛が聴覚をそれぞれ分担している。,内耳に伝わった音の振動は、蝸牛の中のリンパ液を介して有毛細胞に伝わり、この時、音の振幅の大きさによって異なる部位の有毛細胞が振動することによって音の高さの違いが伝えられる。,鼓室は、耳管によって咽頭に通じており、その内圧は外気圧と等しく保たれている。,4,正答は4。音の高さは主に音の周波数に対応し、内耳の蝸牛内で刺激される部位の違いとして知覚される。振幅は主に音の大きさに関係するため、振幅で高さが決まるとする記述は誤り。
令和6年,10月,27,労働生理,神経系に関する次の記述のうち、誤っているものはどれか。,神経細胞の細胞体が集合しているところを、中枢神経系では神経節といい、末梢神経系では神経核という。,小脳は、随意運動、平衡機能などの調整に関与しており、小脳が侵されると運動失調が生じる。,体性神経には感覚器官からの情報を中枢に伝える感覚神経と、中枢からの命令を運動器官に伝える運動神経がある。,自律神経系は、内臓、血管、腺などの不随意筋に広く分布し、各種臓器の消化、呼吸、循環などの機能を意志とは関係なく調節している。,交感神経と副交感神経は、同一器官に分布していても、その作用はほぼ正反対であり、例えば、交感神経は心拍数を増加し、消化管の運動を抑制するが、副交感神経は心拍数を減少し、 消化管の運動を亢進する。,1,正答は1。中枢神経系は脳と脊髄からなり、末梢神経系はそれ以外の神経からなる。神経節を中枢、神経核を末梢とする記述は用語を逆に取り違えている。
令和6年,10月,28,労働生理,代謝に関する次の記述のうち、正しいものはどれか。,代謝において、細胞に取り入れられた体脂肪、グリコーゲンなどが分解されてエネルギーを発生し、ATPが合成されることを同化という。,代謝において、体内に摂取された栄養素が、種々の化学反応によって、細胞を構成する蛋白質などの生体に必要な物質に合成されることを異化という。,エネルギー代謝率は、一定時間中に体内で消費された酸素と排出された二酸化炭素の容積比である。,基礎代謝量は、安静時における心臓の拍動、呼吸、体温保持などに必要な代謝量で、睡眠中の測定値で表される。,メッツ（METs）は、身体活動の強度を示す指標で、座位安静時の酸素消費量に対する運動時の酸素消費量で表される。,5,正答は5。METsは、安静時代謝量を1として、身体活動の強度がその何倍に当たるかを示す単位である。運動強度を比較するために用いられる。
令和6年,10月,29,労働生理,免疫に関する次の記述のうち、誤っているものはどれか。,抗原とは、免疫に関係する細胞によって異物として認識される物質のことである。,抗原となる物質には、蛋白質、糖質などがある。,抗体とは、体内に入ってきた抗原に対して体液性免疫において作られる免疫グロブリンと呼ばれる蛋白質のことである。,好中球は白血球の一種であり、偽足を出してアメーバ様運動を行い、体内に侵入してきた細菌などを貪食する。,リンパ球には、血液中の抗体を作る Tリンパ球と、細胞性免疫の作用を持つ Bリンパ球がある。,5,正答は5。Tリンパ球は主に細胞性免疫に、Bリンパ球は抗体産生を通じた体液性免疫に関与する。選択肢は両者の働きを逆にしているため誤り。
令和6年,10月,30,労働生理,腎臓・泌尿器系に関する次の記述のうち、誤っているものはどれか。,ネフロン（腎単位）は、尿を生成する単位構造で、1個の腎小体とそれに続く1本の尿細管から成り、1個の腎臓中に約100万個ある。,腎臓の腎小体では、糸球体から血液中の蛋白質以外の血漿成分がボウマン嚢に濾し出され、 原尿が生成される。,腎臓の尿細管では、原尿に含まれる大部分の水分及び身体に必要な成分が血液中に再吸収され、残りが尿として生成される。,尿の約95%は水分で、約5%が固形物であるが、その成分が全身の健康状態をよく反映するので、尿を採取して尿素窒素の検査が広く行われている。,尿の生成・排出により、体内の水分の量やナトリウムなどの電解質の濃度を調節するとともに、生命活動によって生じた不要な物質を排出する。,4,正答は4。尿素窒素は血液中の尿素窒素濃度を調べる検査で、腎機能評価などに用いられる。尿検査として広く行われているとする記述は誤り。
令和6年,4月,1,関係法令,衛生管理者又は衛生推進者の選任について、法令に違反しているものは次のうちどれか。 ただし、衛生管理者の選任の特例はないものとする。,常時40人の労働者を使用する飲食店の事業場において、衛生管理者は選任していないが、 衛生推進者を1人選任している。,常時100人の労働者を使用する水道業の事業場において、第二種衛生管理者免許を有する者のうちから、衛生管理者を1人選任している。,常時200人の労働者を使用する不動産業の事業場において、第一種衛生管理者免許を有する者のうちから、衛生管理者を1人選任している。,常時200人の労働者を使用する旅館業の事業場において、第二種衛生管理者免許を有する者のうちから衛生管理者を1人選任している。,常時600人の労働者を使用する各種商品小売業の事業場において、3人の衛生管理者のうち2人を事業場に専属で第一種衛生管理者免許を有する者のうちから選任し、他の1人を事業場に専属でない労働衛生コンサルタントから選任している。,2,正答は2。水道業は、第二種衛生管理者免許だけでは衛生管理者に選任できない業種である。常時100人の事業場では衛生管理者1人の選任数は足りるが、資格の種類が法令に適合していない。
令和6年,4月,2,関係法令,常時使用する労働者数が300人の事業場で、法令上、総括安全衛生管理者の選任が義務付けられていない業種は、次のうちどれか。,通信業,各種商品小売業,旅館業,ゴルフ場業,警備業,5,正答は5。警備業は、常時300人の事業場で総括安全衛生管理者の選任が義務付けられる業種には含まれない。業種と労働者数の組合せで選任義務の有無を判断する。
令和6年,4月,3,関係法令,衛生管理者が管理すべき業務として、法令上、定められていないものは次のうちどれか。 ただし、次のそれぞれの業務のうち衛生に係る技術的事項に限るものとする。,化学物質等による危険性又は有害性等の調査及びその結果に基づき講ずる措置に関すること。,健康診断の実施その他健康の保持増進のための措置に関すること。,労働者の衛生のための教育の実施に関すること。,労働者の健康を確保するため必要があると認めるとき、事業者に対し、労働者の健康管理等について必要な勧告をすること。,少なくとも毎週1回作業場等を巡視し、衛生状態に有害のおそれがあるときは、直ちに、労働者の健康障害を防止するため必要な措置を講じること。,4,正答は4。労働者の健康管理等について事業者へ必要な勧告をすることは、主に産業医の職務として定められている。衛生管理者が管理すべき業務として法令上列挙されるものではない。
令和6年,4月,4,関係法令,労働安全衛生法に基づく心理的な負担の程度を把握するための検査の結果に基づき実施する面接指導に関する次の記述のうち、正しいものはどれか。,常時50人以上の労働者を使用する事業者は、1年以内ごとに1回、定期に、心理的な負担の程度を把握するための検査結果等報告書を所轄労働基準監督署長に提出しなければならない。,事業者は、面接指導の対象となる労働者の要件に該当する労働者から申出があったときは、 申出の日から3か月以内に、面接指導を行わなければならない。,事業者は、面接指導を行った場合は、当該面接指導の結果を当該事業場の当該部署に所属する労働者の集団その他の一定規模の集団ごとに集計し、その結果について分析しなければならない。,面接指導の結果は、健康診断個人票に記載しなければならない。,面接指導を行う医師として事業者が指名できる医師は、法定の研修を修了した医師に限られる。,1,正答は1。常時50人以上の労働者を使用する事業者は、心理的な負担の程度を把握するための検査等の実施状況について、1年以内ごとに1回、所轄労働基準監督署長へ報告する必要がある。
令和6年,4月,5,関係法令,産業医の職務として、法令に定められていない事項は次のうちどれか。 ただし、次のそれぞれの事項のうち医学に関する専門的知識を必要とするものに限るものとする。,安全衛生に関する方針の表明に関すること。,作業の管理に関すること。,健康診断の実施に関すること。,衛生教育に関すること。,労働者の健康障害の原因の調査及び再発防止のための措置に関すること。,1,正答は1。産業医の職務には、健康診断、面接指導、作業環境の維持管理、健康教育など医学的専門知識を要する事項が含まれる。安全衛生に関する方針表明そのものは、産業医の法定職務ではない。
令和6年,4月,6,関係法令,労働衛生コンサルタントに関する次の記述のうち、法令上、誤っているものはどれか。,労働衛生コンサルタントは、他人の求めに応じ報酬を得て、労働者の衛生の水準の向上を図るため、事業場の衛生についての診断及びこれに基づく指導を行うことを業とする。,労働衛生コンサルタント試験には、保健衛生及び労働衛生工学の2つの区分がある。,労働衛生コンサルタント試験に合格した者は、厚生労働大臣の指定する指定登録機関に備える労働衛生コンサルタント名簿に、氏名、生年月日等所定の事項の登録を受けることにより、 労働衛生コンサルタントとなることができる。,労働衛生コンサルタントが、その業務に関して知り得た秘密を漏らし、又は盗用したときは、 その登録を取り消されることがある。,労働衛生コンサルタントは、法定の研修を修了することにより、ストレスチェックの実施者となることができる。,5,正答は5。ストレスチェックの実施者になれるのは、医師、保健師、一定の研修を修了した看護師や精神保健福祉士等である。労働衛生コンサルタントであることだけを理由に実施者になれるわけではない。
令和6年,4月,7,関係法令,労働安全衛生規則に基づく次の定期健康診断項目のうち、厚生労働大臣が定める基準に基づき、医師が必要でないと認めるときは、省略することができる項目に該当しないものはどれか。,既往歴及び業務歴の調査,心電図検査,肝機能検査,血中脂質検査,貧血検査,1,正答は1。定期健康診断の既往歴及び業務歴の調査は、省略できる項目ではない。医師が必要でないと認めるときに省略できる項目と、省略できない基本項目を区別する。
令和6年,4月,8,関係法令,事務室の空気環境の調整に関する次の文中の［ ］内に入れる A及び Bの数値の組合せとして、法令上、正しいものは,"1,000 0.3","1,000 0.5","2,000 0.3","2,000 0.5","2,000 1",2,"正答は2。事務室の空気環境では、二酸化炭素濃度は100万分の1,000以下、気流は毎秒0.5m以下などの基準がある。数値基準は頻出なので、単位とあわせて押さえる。"
令和6年,4月,9,関係法令,労働基準法における労働時間等に関する次の記述のうち、正しいものはどれか。,1日8時間を超えて労働させることができるのは、時間外労働の協定を締結し、これを所轄労働基準監督署長に届け出た場合に限られている。,労働時間に関する規定の適用については、事業場を異にする場合は労働時間を通算しない。,労働時間が8時間を超える場合においては、少なくとも45分の休憩時間を労働時間の途中に与えなければならない。,機密の事務を取り扱う労働者については、所轄労働基準監督署長の許可を受けなくても労働時間に関する規定は適用されない。,フレックスタイム制の清算期間は、6か月以内の期間に限られる。,4,正答は4。機密の事務を取り扱う労働者は、労働基準法上の労働時間、休憩及び休日に関する規定の適用除外となる。監視・断続的労働のような所轄労働基準監督署長の許可は要件ではない。
令和6年,4月,10,関係法令,週所定労働時間が32時間、週所定労働日数が4日である労働者であって、雇入れの日から起算して3年6か月継続勤務したものに対して、その後1年間に新たに与えなければならない年次有給休暇日数として、法令上、正しいものは次のうちどれか。 ただし、その労働者はその直前の1年間に全労働日の8割以上出勤したものとする。,10日,11日,12日,13日,14日,5,正答は5。週所定労働時間が32時間の場合は、週4日勤務でも比例付与ではなく通常の付与日数で考える。継続勤務3年6か月、出勤率8割以上なら新たに与える年次有給休暇は14日である。
令和6年,4月,11,労働衛生,事務室における必要換気量 Q（m3/h）を算出する式として、適切なものは,Q＝｛D/（A－B）｝×100,Q＝｛D/（A－C）｝×100,Q＝｛D/（B－A）｝×100,Q＝｛D/（B－C）｝×100,Q＝｛D/（C－A）｝×100,2,正答は2。必要換気量は、在室者の二酸化炭素発生量を、室内基準濃度と外気濃度との差で割って求める。濃度を百分率で扱う式では、換算のために100を掛ける形になる。
令和6年,4月,12,労働衛生,温熱条件に関する次の記述のうち、誤っているものはどれか。,温度感覚を左右する環境要素は、気温、湿度、気流及びふく射（放射）熱である。,実効温度は、人の温熱感に基礎を置いた指標で、気温、湿度及び気流の総合効果を温度目盛りで表したものである。,相対湿度は、空気中の水蒸気量と、その温度における飽和水蒸気量との比を百分率で示したものである。,WBGTは、暑熱環境による熱ストレスの評価に用いられる指標で、日射がある場合は、自然湿球温度、黒球温度及び気温（乾球温度）の測定値から算出される。,算出した WBGTの値が、作業内容に応じて設定された WBGT基準値未満である場合には、 熱中症が発生するリスクが高まる。,5,正答は5。WBGTが作業内容に応じた基準値を超えるほど、熱中症のリスクは高まる。基準値未満でリスクが高まるとする記述は、判断の向きが逆である。
令和6年,4月,13,労働衛生,照明等の視環境に関する次の記述のうち、誤っているものはどれか。,照度の単位はルクスで、1ルクスは光度1カンデラの光源から1m離れた所で、その光に直角な面が受ける明るさに相当する。,前方から明かりをとるときは、まぶしさをなくすため、眼と光源を結ぶ線と視線が作る角度は、おおむね30°以上になるようにする。,全般照明と局部照明を併用する場合、全般照明による照度は、局部照明による照度の15分の1以下になるようにしている。,室内の彩色で、目の高さ以下の壁や床には、まぶしさを防ぐため濁色を用いるようにする。,高齢者は、若年者に比較して、一般に、高い照度が必要であるが、水晶体の混濁により、まぶしさを感じやすくなっている場合もあるので、注意が必要である。,3,正答は3。全般照明と局部照明を併用する場合、全般照明による照度は局部照明による照度の10分の1以上にするのが望ましい。15分の1以下にするという記述は不適切である。
令和6年,4月,14,労働衛生,厚生労働省の「労働者の心の健康の保持増進のための指針」に基づくメンタルヘルスケアの実施に関する次の記述のうち、適切でないものはどれか。,「心の健康づくり計画」の策定に当たっては、衛生委員会又は安全衛生委員会において十分調査審議を行う。,「セルフケア」、「ラインによるケア」、「事業場内産業保健スタッフ等によるケア」及び「事業場外資源によるケア」の四つのケアを継続的かつ計画的に行う。,メンタルヘルスケアを推進するに当たって、労働者の個人情報を主治医等の医療職や家族から取得する際には、あらかじめこれらの情報を取得する目的を労働者に明らかにして承諾を得るとともに、これらの情報は労働者本人から提出を受けることが望ましい。,労働者の心の健康は、職場配置、人事異動、職場の組織等の要因によって影響を受ける可能性があるため、人事労務管理部門と連携するようにする。,プライバシー保護の観点から、衛生委員会や安全衛生委員会において、ストレスチェック制度に関する調査審議とメンタルヘルスケアに関する調査審議を関連付けて行うことは避ける。,5,正答は5。ストレスチェック制度とメンタルヘルスケアは、いずれも職場の心の健康づくりに関係するため、衛生委員会等で関連付けて調査審議することが適切である。関連付けを避けるべきとする記述は誤り。
令和6年,4月,15,労働衛生,労働者の健康保持増進のために行う健康測定における運動機能検査の項目とその測定種目との組合せとして、誤っているものは次のうちどれか。,筋力 ……………… 握力,柔軟性 …………… 座位体前屈,筋持久力 ………… 上体起こし,敏しょう性 ……… 踏み台昇降,全身持久性 ……… 最大酸素摂取量,4,正答は4。踏み台昇降は主に全身持久性などの評価に用いられる測定種目であり、敏しょう性の測定種目ではない。運動機能検査では、項目と測定種目の対応を区別する。
令和6年,4月,16,労働衛生,"1,000人を対象としたある疾病のスクリーニング検査の結果と精密検査結果によるその疾病の有無は下表のとおりであった。このスクリーニング検査の偽陽性率及び偽陰性率の近似値の組合せとして、適切なものは",20.0 0.5,20.5 20.0,22.0 25.0,25.8 0.5,28.2 20.0,2,正答は2。偽陽性率は、疾病がない者のうち検査で陽性と出た者の割合である。偽陰性率は、疾病がある者のうち検査で陰性と出た者の割合であり、表の該当欄からそれぞれ計算する。
令和6年,4月,17,労働衛生,脳血管障害及び虚血性心疾患に関する次の記述のうち、誤っているものはどれか｡,脳血管障害は、脳の血管の病変が原因で生じ、出血性病変、虚血性病変などに分類される。,出血性の脳血管障害は、脳表面のくも膜下腔に出血するくも膜下出血、脳実質内に出血する脳出血などに分類される。,くも膜下出血は、通常、脳動脈瘤が破れて数日後に発症し、激しい頭痛を伴う。,虚血性心疾患は、心筋の一部分に可逆的な虚血が起こる狭心症と、不可逆的な心筋壊死が起こる心筋梗塞とに大別される。,心筋梗塞では、突然激しい胸痛が起こり、「締め付けられるように痛い」、「胸が苦しい」などの症状が、1時間以上続くこともある。,3,正答は3。くも膜下出血は、脳動脈瘤の破裂などにより突然発症し、激しい頭痛を伴うことが多い。破れて数日後に発症するとする記述は誤り。
令和6年,4月,18,労働衛生,骨折に関する次の記述のうち、正しいものはどれか。,単純骨折とは、骨にひびが入った状態をいう。,複雑骨折とは、骨が多数の骨片に破砕された状態をいう。,不完全骨折では、骨折端どうしが擦れ合う軋轢音や変形などが認められる。,脊髄損傷が疑われる場合は、動かさないことを原則とするが、やむを得ず搬送する場合は、 負傷者に振動を与えないようにするため、柔らかいマットに乗せる。,骨折に対する処置として、副子を手や足に当てるときは、骨折部分の上下の関節まで固定できる長さで、かつ、幅の広いものを用いる。,5,正答は5。骨折時に副子を当てる場合は、骨折部位だけでなく上下の関節まで固定できる長さのものを用いる。固定範囲を広く取り、患部の動揺を防ぐことが大切である。
令和6年,4月,19,労働衛生,ノロウイルスによる食中毒に関する次の記述のうち、正しいものはどれか。,食品に付着したウイルスが食品中で増殖し、ウイルスが産生した毒素により発症する。,ウイルスの感染性は、長時間煮沸しても失われない。,潜伏期間は、1～2日である。,発生時期は、夏季が多い。,症状は、筋肉の麻痺などの神経症状が特徴である。,3,正答は3。ノロウイルス食中毒の潜伏期間は、一般に1〜2日程度である。感染力が強く、少量のウイルスでも発症し得るため、手洗い、加熱、汚染拡大防止が重要である。
令和6年,4月,20,労働衛生,BMIに関する次の記述のうち、正しいものはどれか。,BMIは肥満や低体重（痩せ）の判定に用いられる指数で、この数値が大きいほど肥満の傾向があり、小さいほど痩せの傾向がある。,BMIを算出するには、腹囲の値が必要である。,BMIを算出するには、体脂肪率の値が必要である。,BMIは、内臓脂肪の重量と直線的な比例関係にある。,BMIによる肥満度の判定基準には、男性の方が女性より大きな数値が用いられる。,1,正答は1。BMIは体重kgを身長mの2乗で割った指数で、肥満や低体重の判定に用いられる。数値が大きいほど肥満傾向、小さいほど痩せ傾向を示す。
令和6年,4月,21,労働生理,呼吸に関する次の記述のうち、正しいものはどれか。,呼吸は、胸膜が運動することで胸腔内の圧力を変化させ、肺を受動的に伸縮させることにより行われる。,肺胞内の空気と肺胞を取り巻く毛細血管中の血液との間で行われるガス交換は、内呼吸である。,通常の呼吸の場合の呼気には、酸素が約16％、二酸化炭素が約4％含まれる。,チェーンストークス呼吸とは、肺機能の低下により呼吸数が増加した状態をいい、喫煙が原因となることが多い。,身体活動時には、血液中の窒素分圧の上昇により呼吸中枢が刺激され、1回換気量及び呼吸数が増加する。,3,正答は3。通常の呼吸では、吸気に比べて呼気の酸素は少なく、二酸化炭素は多くなる。呼気にはおおむね酸素約16％、二酸化炭素約4％が含まれる。
令和6年,4月,22,労働生理,神経系に関する次の記述のうち、誤っているものはどれか。,神経細胞の細胞体が集合しているところを、中枢神経系では神経節といい、末梢神経系では神経核という。,大脳の外側の皮質は、神経細胞の細胞体が集合した灰白質で、感覚、運動、思考などの作用を支配する中枢として機能する。,副交感神経系は、身体の機能を回復に向けて働く神経系で、休息や睡眠状態で活動が高まり、 心拍数を減少し、消化管の運動を亢進する。,自律神経系は、交感神経系と副交感神経系とに分類され、各種臓器に対して両方の神経が支配している。,体性神経には感覚器官からの情報を中枢に伝える感覚神経と、中枢からの命令を運動器官に伝える運動神経がある。,1,正答は1。神経細胞の細胞体が集まる部分は、中枢神経系では神経核、末梢神経系では神経節という。選択肢はこの用語を逆にしているため誤り。
令和6年,4月,23,労働生理,心臓及び血液循環に関する次の記述のうち、誤っているものはどれか。,心臓は、自律神経の中枢で発生した刺激が刺激伝導系を介して心筋に伝わることにより、規則正しく収縮と拡張を繰り返す。,肺循環により左心房に戻ってきた血液は、左心室を経て大動脈に入る。,大動脈を流れる血液は動脈血であるが、肺動脈を流れる血液は静脈血である。,心臓の拍動による動脈圧の変動を末梢の動脈で触知したものを脈拍といい、一般に、手首の橈骨動脈で触知する。,動脈硬化とは、コレステロールの蓄積などにより、動脈壁が肥厚・硬化して弾力性を失った状態であり、進行すると血管の狭窄や閉塞を招き、臓器への酸素や栄養分の供給が妨げられる。,1,正答は1。心臓の拍動は、主に右心房の洞房結節で発生した刺激が刺激伝導系を伝わることで起こる。自律神経中枢で拍動刺激が発生するという説明は誤り。
令和6年,4月,24,労働生理,脂肪の分解・吸収及び脂質の代謝に関する次の記述のうち、誤っているものはどれか。,脂肪は、膵臓から分泌される消化酵素である膵アミラーゼにより脂肪酸とグリセリンに分解される。,胆汁は、アルカリ性で、消化酵素は含まないが、食物中の脂肪を乳化させ、脂肪分解の働きを助ける。,肝臓は、過剰な蛋白質及び糖質を中性脂肪に変換する。,コレステロールやリン脂質は、神経組織の構成成分となる。,脂質は、糖質や蛋白質に比べて多くの ATP を産生するエネルギー源となるが、摂取量が多すぎると肥満の原因となる。,1,正答は1。脂肪は、主に膵リパーゼにより脂肪酸とグリセリンに分解される。膵アミラーゼはでんぷんを分解する酵素であり、脂肪分解酵素ではない。
令和6年,4月,25,労働生理,腎臓又は尿に関する次の Aから Dの記述について、誤っているものの組合せは,A，B,A，C,A，D,B，C,C，D,3,正答は3。腎臓では、糸球体で血液がろ過されて原尿がつくられ、尿細管で水分や電解質などが再吸収される。尿や腎機能に関する記述では、ろ過と再吸収の場所を正確に区別する。
令和6年,4月,26,労働生理,感覚又は感覚器に関する次の記述のうち、誤っているものはどれか。,眼軸が短過ぎるために、平行光線が網膜の後方で像を結ぶものを遠視という。,嗅覚と味覚は化学感覚ともいわれ、物質の化学的性質を認知する感覚である。,温度感覚は、皮膚のほか口腔などの粘膜にも存在し、一般に冷覚の方が温覚よりも鋭敏である。,深部感覚は、筋肉や腱にある受容器から得られる身体各部の位置、運動などを認識する感覚である。,平衡感覚に関係する器官である前庭及び半規管は、中耳にあって、体の傾きや回転の方向を知覚する。,5,正答は5。平衡感覚に関係する前庭及び半規管は内耳にあり、体の傾きや回転を感知する。中耳にあるとする記述は誤り。
令和6年,4月,27,労働生理,ヒトのホルモン、その内分泌器官及びそのはたらきの組合せとして、誤っているものは次のうちどれか。 ホルモン内分泌器官はたらき,アルドステロン副腎髄質血糖量の増加,インスリン膵臓血糖量の減少,パラソルモン副甲状腺血中のカルシウム量の調節,プロラクチン下垂体黄体形成の促進,副腎皮質刺激ホルモン下垂体副腎皮質の活性化,1,正答は1。アルドステロンは副腎皮質から分泌され、体内のナトリウムや水分の保持などに関与する。副腎髄質から分泌され血糖量を増加させるという組合せは誤り。
令和6年,4月,28,労働生理,免疫に関する次の記述のうち、誤っているものはどれか。,抗原とは、免疫に関係する細胞によって異物として認識される物質のことである。,抗原となる物質には、蛋白質、糖質などがある。,抗体とは、体内に入ってきた抗原に対して体液性免疫において作られる免疫グロブリンと呼ばれる蛋白質のことである。,好中球は白血球の一種であり、偽足を出してアメーバ様運動を行い、体内に侵入してきた細菌などを貪食する。,リンパ球には、血液中の抗体を作る Tリンパ球と、細胞性免疫の作用を持つ Bリンパ球がある。,5,正答は5。Bリンパ球は抗体産生を通じた体液性免疫に、Tリンパ球は主に細胞性免疫に関与する。選択肢は両者の働きを逆にしているため誤り。
令和6年,4月,29,労働生理,ストレスに関する次の記述のうち、誤っているものはどれか。,外部からの刺激であるストレッサーは、その形態や程度にかかわらず、自律神経系と内分泌系を介して、心身の活動を抑圧する。,ストレスに伴う心身の反応には、ノルアドレナリン、アドレナリンなどのカテコールアミンや副腎皮質ホルモンが深く関与している。,昇進、転勤、配置替えなどがストレスの原因となることがある。,職場環境における騒音、気温、湿度、悪臭などがストレスの原因となることがある。,ストレスにより、高血圧症、狭心症、十二指腸潰瘍などの疾患が生じることがある。,1,正答は1。ストレッサーに対する反応は、交感神経系や内分泌系を介して心身の活動を高める場合もある。形態や程度にかかわらず活動を抑圧するとする記述は誤り。
令和6年,4月,30,労働生理,体温調節に関する次の記述のうち、正しいものはどれか。,体温調節中枢は、間脳の視床下部にある。,体温調節のように、外部環境が変化しても身体内部の状態を一定に保つ生体の仕組みを同調性といい、筋肉と神経系により調整されている。,寒冷な環境においては、皮膚の血管が拡張して血流量を増し、皮膚温を上昇させる。,計算上、体重70kgの人の体表面から10gの汗が蒸発すると、体温が約1℃下がる。,不感蒸泄とは、水分が発汗により失われることをいう。,1,正答は1。体温調節中枢は間脳の視床下部にあり、産熱と放熱のバランスを調節する。暑熱時や寒冷時の自律神経反応も、この中枢の働きと関係している。
